ue,C_AE,C_UE,C_BS_hist,lambda_UE,lambda_BS,ue_beams,bs_beams
1225,72.15,50.36,"10.10,16.77,21.28,22.50,23.92,24.90,25.53,26.05,26.71,27.22,27.61,27.96,28.27,28.53,28.84,29.17,29.55,29.85,30.08,30.29,30.47,30.65,30.84,31.01,31.21,31.41,31.61,31.79,31.93,32.05,32.17,32.29,32.45,32.59,32.72,32.83,32.92,33.01,33.12,33.23,33.36,33.47,33.57,33.65,33.72,33.81,33.90,34.00,34.11,34.22,34.32,34.40,34.46,34.52,34.59,34.66,34.77,34.87,34.94,35.03,35.11,35.18,35.23,35.29","0.5752,0.5752,0.5750,0.5742","1.0195,1.0137,0.9858,0.9810,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0,8,0,8","33,17,33,33,33,33,33,33,17,33,17,33,33,33,33,33,33,33,33,33,33,33,33,33,33,17,17,17,17,17,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,17,17,33,33,33,33,33,17,17,17,17,17,33"
1226,57.67,44.35,"11.13,15.14,17.09,18.13,19.03,19.49,20.04,20.94,21.56,21.97,22.31,22.72,22.97,23.19,23.45,23.70,24.07,24.30,24.47,24.76,24.84,25.02,25.20,25.33,25.56,25.72,25.86,26.04,26.13,26.25,26.38,26.46,26.57,26.72,26.86,26.94,27.06,27.14,27.25,27.35,27.43,27.56,27.68,27.73,27.88,27.92,28.00,28.11,28.24,28.34,28.41,28.50,28.55,28.64,28.66,28.76,28.92,28.97,29.02,29.14,29.15,29.27,29.27,29.34","0.5397,0.5395,0.5391,0.5377","1.0898,1.0459,0.9878,0.8770,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","5,5,5,5","10,16,16,10,10,10,10,10,16,10,16,16,16,10,10,10,10,16,10,16,10,16,10,10,10,16,10,16,16,16,16,10,10,16,10,16,16,10,16,10,10,10,16,10,16,10,16,10,10,10,16,10,16,16,16,16,10,10,16,16,16,16,12,16"
1227,26.28,27.37,"11.50,12.89,14.18,15.26,16.14,16.86,17.48,18.00,18.38,18.64,18.82,18.97,19.14,19.35,19.58,19.84,20.05,20.20,20.31,20.40,20.50,20.62,20.76,20.92,21.07,21.18,21.26,21.33,21.39,21.48,21.58,21.71,21.82,21.91,21.97,22.02,22.08,22.14,22.23,22.33,22.41,22.48,22.54,22.56,22.60,22.65,22.72,22.80,22.87,22.93,22.97,23.00,23.03,23.07,23.14,23.21,23.27,23.31,23.35,23.37,23.41,23.45,23.49,23.55","1.5382,1.4934,0.9690,0.0001","1.7158,1.6377,0.6465,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","4,4,4,4","24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24"
1228,37.59,33.17,"10.49,14.31,15.62,16.54,17.35,18.00,18.50,18.90,19.31,19.67,19.99,20.27,20.52,20.75,20.93,20.96,21.07,21.35,21.59,21.79,21.95,22.10,22.22,22.34,22.47,22.58,22.71,22.83,22.95,23.06,23.16,23.21,23.25,23.39,23.52,23.61,23.72,23.78,23.85,23.93,24.00,24.05,24.14,24.23,24.30,24.38,24.44,24.50,24.51,24.60,24.69,24.76,24.81,24.87,24.93,24.98,25.01,25.06,25.12,25.17,25.22,25.28,25.33,25.38","0.8921,0.8912,0.8487,0.7589","1.2959,1.2363,0.8691,0.5986,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0,0,0,0","17,33,33,33,17,33,33,33,17,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,17,33,33,33,33,33,33,33,33,33,33,33,17,33,33,33,17,33,33,33,33,33,33,33,33,33,33,33,17,33,33,33,33,33,33,33,17,33,33,33"
1229,27.53,24.73,"10.60,11.51,12.05,12.87,13.36,13.81,14.22,14.60,14.91,15.11,15.26,15.40,15.54,15.70,15.90,16.09,16.26,16.41,16.50,16.58,16.67,16.75,16.87,17.02,17.14,17.25,17.32,17.37,17.42,17.50,17.59,17.70,17.81,17.86,17.94,17.97,17.99,18.05,18.14,18.23,18.30,18.35,18.39,18.46,18.50,18.52,18.60,18.67,18.73,18.77,18.79,18.80,18.82,18.85,18.90,18.96,19.03,19.09,19.12,19.12,19.17,19.17,19.27,19.29","1.2175,1.1748,1.1530,0.4542","1.9600,1.6533,0.3867,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","4,4,4,4","25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,31,25,25,25,25,25,25,25,25,25,25,25,25,25,25,31,25,29,25,25,25,25,25,25,25,31,25,25,25,31"
1247,29.47,25.76,"11.15,12.38,13.15,13.76,14.50,15.24,15.87,16.37,16.75,17.01,17.20,17.36,17.54,17.76,18.01,18.26,18.48,18.64,18.76,18.85,18.96,19.09,19.24,19.41,19.55,19.67,19.76,19.83,19.90,19.99,20.11,20.23,20.35,20.43,20.50,20.56,20.61,20.68,20.76,20.86,20.96,21.03,21.09,21.13,21.17,21.23,21.31,21.39,21.46,21.52,21.58,21.61,21.65,21.69,21.75,21.82,21.89,21.94,21.98,22.02,22.05,22.09,22.13,22.19","1.1932,1.1814,1.1229,0.5014","1.3369,1.2871,0.8618,0.5137,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","12,4,12,4","31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31"
1248,41.15,34.39,"10.27,16.40,17.77,18.54,19.55,20.26,20.80,21.24,21.72,22.10,22.46,22.78,23.05,23.31,23.56,23.80,24.11,24.32,24.52,24.72,24.89,25.06,25.23,25.39,25.58,25.73,25.87,26.02,26.15,26.26,26.37,26.51,26.65,26.74,26.84,26.95,27.04,27.16,27.25,27.37,27.44,27.53,27.61,27.70,27.78,27.87,27.92,27.98,28.08,28.14,28.21,28.27,28.33,28.40,28.46,28.51,28.58,28.63,28.68,28.74,28.79,28.86,28.91,29.00","0.8780,0.8774,0.8265,0.7994","1.3340,1.2314,1.0107,0.4246,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","3,3,1,1","31,56,31,31,56,56,56,56,56,31,31,31,31,56,56,56,56,56,31,31,31,56,56,56,56,56,31,31,31,31,56,56,56,56,31,31,31,56,56,56,56,56,31,31,31,56,31,56,56,31,31,31,31,56,56,56,56,31,31,31,56,56,56,56"
1249,35.71,32.32,"11.25,13.10,14.73,15.95,16.85,17.49,18.09,18.70,19.15,19.41,19.62,19.85,20.07,20.30,20.56,20.90,21.13,21.28,21.41,21.56,21.69,21.82,21.98,22.23,22.38,22.49,22.58,22.68,22.78,22.88,23.01,23.20,23.32,23.40,23.47,23.56,23.64,23.73,23.84,23.98,24.09,24.16,24.22,24.29,24.34,24.40,24.50,24.67,24.73,24.77,24.82,24.88,24.93,24.99,25.07,25.21,25.28,25.31,25.36,25.41,25.46,25.50,25.58,25.71","0.8072,0.8038,0.7575,0.7358","1.3184,1.1221,1.0781,0.4810,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0,0,0,0","33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33"
1250,36.75,33.61,"10.07,12.97,14.75,15.77,16.58,17.28,17.77,18.12,18.46,18.74,19.04,19.31,19.57,19.80,19.98,20.16,20.37,20.57,20.73,20.88,21.03,21.18,21.35,21.49,21.67,21.81,21.92,22.04,22.15,22.28,22.40,22.52,22.63,22.74,22.83,22.92,23.01,23.10,23.20,23.32,23.42,23.51,23.59,23.65,23.71,23.79,23.88,23.98,24.06,24.14,24.19,24.25,24.31,24.38,24.45,24.52,24.59,24.65,24.71,24.77,24.83,24.89,24.96,25.05","0.8502,0.8490,0.8052,0.6585","1.3125,1.1690,0.9985,0.5200,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0,0,0,0","40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,40,40,40,40,40,40,42,40,40,40,40,40,40,40,40,40,40,40,40,40"
1251,33.88,32.39,"11.18,14.33,16.00,17.04,18.06,18.81,19.22,19.70,20.20,20.50,20.79,21.01,21.25,21.49,21.74,22.04,22.27,22.45,22.60,22.74,22.88,23.01,23.15,23.33,23.53,23.63,23.71,23.80,23.89,23.98,24.10,24.24,24.33,24.41,24.48,24.56,24.62,24.69,24.77,24.86,24.94,25.01,25.09,25.14,25.17,25.22,25.29,25.37,25.45,25.53,25.57,25.63,25.71,25.81,25.87,25.99,26.08,26.14,26.24,26.28,26.34,26.45,26.51,26.61","1.1017,1.0990,1.0633,0.7369","1.3359,1.0723,0.9439,0.6479,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1,1,1,1","32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32"
