ue,C_AE,C_UE,C_BS_hist,lambda_UE,lambda_BS,ue_beams,bs_beams
816,69.79,49.29,"9.96,16.29,18.60,20.13,21.20,22.31,23.06,23.74,24.40,24.94,25.40,25.84,26.19,26.53,26.88,27.20,27.61,27.90,28.17,28.44,28.67,28.92,29.17,29.40,29.69,29.90,30.09,30.29,30.44,30.62,30.82,31.00,31.22,31.38,31.54,31.67,31.79,31.92,32.07,32.22,32.37,32.51,32.63,32.74,32.84,32.95,33.08,33.21,33.34,33.44,33.54,33.64,33.73,33.84,33.95,34.06,34.18,34.27,34.35,34.43,34.51,34.59,34.69,34.79","0.5014,0.5014,0.4996,0.4987","1.0156,1.0068,1.0049,0.9727,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0,2,0,0","40,59,57,40,57,40,40,59,40,59,57,59,40,40,59,59,40,57,57,59,40,40,40,59,40,57,59,57,57,40,40,40,40,40,59,59,59,40,59,40,40,57,59,57,57,59,40,59,40,59,57,57,57,40,40,40,40,59,59,57,59,40,59,40"
817,56.69,42.43,"10.85,12.85,14.38,15.43,16.24,16.97,17.58,18.27,18.66,18.94,19.23,19.50,19.66,19.89,20.04,20.28,20.35,20.49,20.75,20.89,21.26,21.38,21.46,21.73,21.94,22.10,22.40,22.46,22.55,22.67,22.79,23.02,23.18,23.32,23.45,23.55,23.68,23.76,23.89,24.02,24.16,24.24,24.37,24.45,24.55,24.60,24.70,24.80,24.91,25.00,25.10,25.16,25.26,25.32,25.41,25.49,25.59,25.67,25.76,25.81,25.90,25.94,26.00,26.08","0.5513,0.5499,0.5479,0.5469","1.0410,1.0234,0.9771,0.9585,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","4,4,4,4","57,57,57,57,57,57,57,57,57,57,57,57,57,63,63,57,63,57,57,57,57,57,57,57,57,57,57,63,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57"
818,72.75,48.18,"10.20,15.87,18.19,19.33,20.50,21.14,21.78,22.56,23.17,23.47,23.83,24.32,24.67,25.01,25.38,25.60,25.83,26.09,26.38,26.65,26.83,26.98,27.22,27.34,27.52,27.69,27.97,28.23,28.35,28.57,28.63,28.73,28.94,29.10,29.24,29.36,29.46,29.58,29.62,29.80,29.99,30.03,30.14,30.22,30.30,30.34,30.47,30.53,30.61,30.66,30.76,30.80,30.85,30.91,31.00,31.03,31.09,31.18,31.23,31.28,31.47,31.55,31.64,31.64","0.4407,0.4404,0.4392,0.4392","1.0107,1.0049,0.9937,0.9912,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1,3,1,1","60,41,60,60,60,41,60,41,41,60,41,60,41,60,41,60,41,60,60,60,41,41,41,60,60,41,60,60,60,41,41,41,60,41,60,41,60,60,41,41,60,12,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43"
819,58.06,45.43,"9.30,14.11,16.43,17.97,19.25,20.36,21.23,21.89,22.31,22.85,23.31,23.77,24.15,24.54,24.86,25.22,25.45,25.71,25.99,26.25,26.47,26.66,26.86,27.07,27.26,27.45,27.65,27.83,27.97,28.13,28.30,28.46,28.58,28.74,28.91,29.05,29.16,29.30,29.42,29.57,29.66,29.77,29.88,30.01,30.11,30.21,30.32,30.42,30.48,30.55,30.65,30.77,30.87,30.97,31.05,31.15,31.19,31.26,31.36,31.44,31.53,31.61,31.69,31.76","0.5611,0.5610,0.5601,0.5547","1.0273,0.9931,0.9912,0.9878,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","10,2,10,2","35,19,19,4,19,19,19,35,4,19,19,19,19,19,19,19,19,19,19,19,4,35,19,19,19,19,19,4,35,4,19,19,19,19,19,19,35,19,19,35,4,19,19,19,19,35,4,19,35,4,19,19,19,19,19,35,4,4,19,19,19,4,19,35"
820,57.38,45.61,"9.41,14.47,17.40,18.67,19.61,20.44,21.18,21.64,22.10,22.56,23.02,23.40,23.89,24.22,24.52,24.74,25.04,25.29,25.61,25.90,26.16,26.41,26.63,26.84,26.99,27.22,27.43,27.63,27.84,28.04,28.22,28.35,28.54,28.71,28.85,29.00,29.14,29.29,29.43,29.53,29.71,29.87,29.98,30.08,30.20,30.30,30.39,30.47,30.64,30.78,30.88,30.96,31.03,31.10,31.17,31.24,31.38,31.51,31.60,31.65,31.72,31.79,31.85,31.90","0.6055,0.6050,0.6049,0.5982","1.0136,1.0098,1.0078,0.9693,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","9,1,9,1","20,42,20,20,42,20,42,42,20,20,20,20,42,42,20,42,20,20,42,42,20,42,20,20,20,42,42,42,20,20,20,20,42,42,42,20,20,20,20,20,42,42,42,20,20,20,20,20,42,42,42,20,20,20,20,20,42,42,42,42,20,20,20,20"
821,59.22,43.77,"10.36,15.64,17.48,18.78,20.02,21.05,21.88,22.50,22.79,23.25,23.71,24.16,24.55,24.88,25.17,25.41,25.68,25.94,26.17,26.41,26.66,26.91,27.15,27.34,27.50,27.69,27.87,28.05,28.22,28.41,28.57,28.70,28.86,28.99,29.13,29.27,29.42,29.56,29.70,29.83,29.94,30.06,30.18,30.28,30.38,30.48,30.59,30.69,30.79,30.89,30.98,31.08,31.17,31.27,31.36,31.46,31.55,31.63,31.71,31.79,31.85,31.92,32.00,32.10","0.5527,0.5523,0.5522,0.5453","1.0381,0.9946,0.9873,0.9795,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","13,13,6,13","43,27,43,27,43,27,43,43,27,27,27,43,27,27,27,43,43,43,43,27,43,43,43,43,27,27,43,43,27,27,27,27,43,43,43,27,27,27,43,27,43,43,43,43,43,27,27,27,43,43,43,43,27,27,27,27,43,43,43,43,43,27,27,27"
822,42.24,38.02,"10.41,11.90,13.17,14.25,15.12,15.55,16.44,17.09,17.74,18.21,18.61,18.83,19.03,19.22,19.45,19.72,20.15,20.43,20.61,20.85,20.96,21.14,21.28,21.47,21.74,21.93,22.08,22.20,22.32,22.45,22.56,22.71,22.92,23.08,23.20,23.31,23.42,23.52,23.65,23.75,23.90,24.04,24.14,24.25,24.33,24.43,24.51,24.62,24.76,24.89,24.99,25.07,25.14,25.22,25.28,25.35,25.45,25.54,25.62,25.74,25.79,25.84,25.95,26.00","0.8373,0.8355,0.8278,0.7943","1.0947,1.0342,0.9458,0.9253,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","9,0,9,2","27,25,27,27,27,27,27,27,25,27,25,27,25,27,27,27,27,27,27,25,27,25,27,25,27,27,25,25,25,25,25,25,27,27,27,25,25,25,25,27,27,25,27,25,25,25,25,25,27,27,25,27,25,25,25,25,27,27,27,25,25,25,25,27"
823,69.80,46.96,"9.24,13.59,15.74,17.23,18.03,18.90,19.55,20.14,20.81,21.35,21.72,22.27,22.67,22.89,23.12,23.38,23.74,24.05,24.27,24.48,24.73,24.90,25.04,25.20,25.39,25.55,25.72,25.87,25.89,26.02,26.28,26.40,26.56,26.73,26.88,27.01,27.11,27.21,27.30,27.38,27.55,27.68,27.81,27.92,28.01,28.07,28.14,28.21,28.34,28.46,28.56,28.64,28.72,28.78,28.83,28.92,29.04,29.15,29.24,29.32,29.39,29.45,29.49,29.56","0.4409,0.4408,0.4402,0.4388","1.0303,1.0039,1.0039,0.9624,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","5,5,5,14","19,2,25,25,19,19,19,19,2,2,19,25,25,19,19,19,2,2,2,25,25,25,19,19,19,2,2,19,25,25,2,19,19,19,2,2,2,19,19,19,19,19,2,2,2,2,25,19,19,19,2,2,2,2,19,25,19,19,19,2,2,2,2,25"
824,68.64,46.38,"10.90,16.77,20.09,21.91,23.06,23.75,24.49,25.16,25.75,26.21,26.66,27.14,27.39,27.87,28.36,28.61,28.60,28.90,29.23,29.42,29.62,29.85,30.13,30.46,30.46,30.63,30.86,30.99,31.15,31.28,31.48,31.70,31.70,31.87,32.02,32.13,32.25,32.33,32.48,32.61,32.61,32.72,32.86,33.01,33.06,33.18,33.27,33.37,33.38,33.40,33.54,33.68,33.76,33.83,33.93,34.06,34.07,34.11,34.21,34.30,34.43,34.46,34.57,34.68","0.4798,0.4790,0.4789,0.4774","1.0293,1.0117,0.9858,0.9722,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1,1,1,1","25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,57,25,25,25,25,25,25,25,36,25,25,25,25,25,25,25,41,25,25,25,25,25,25,25,41,25,25,25,25,25,25,25,41,25,25,25,25,25,25,25,36,25,25,25,25,25,25,25"
825,32.41,29.80,"10.46,11.71,12.96,14.00,14.87,15.62,16.25,16.78,17.19,17.45,17.63,17.78,17.95,18.15,18.38,18.63,18.86,19.02,19.14,19.23,19.32,19.44,19.58,19.74,19.90,20.02,20.10,20.17,20.23,20.31,20.42,20.53,20.66,20.75,20.82,20.87,20.92,20.98,21.06,21.15,21.25,21.33,21.39,21.43,21.47,21.52,21.58,21.65,21.74,21.80,21.85,21.89,21.91,21.95,21.99,22.05,22.12,22.17,22.21,22.24,22.26,22.29,22.34,22.39","0.8989,0.8813,0.8086,0.7980","1.5322,1.4980,0.5977,0.3713,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0,8,0,0","24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24"
