ue,C_AE,C_UE,C_BS_hist,lambda_UE,lambda_BS,ue_beams,bs_beams
1009,26.07,23.18,"9.84,11.24,12.16,12.83,13.35,13.73,14.01,14.21,14.33,14.46,14.62,14.79,14.96,15.14,15.32,15.49,15.59,15.68,15.78,15.87,15.99,16.12,16.26,16.41,16.48,16.55,16.61,16.68,16.77,16.88,17.00,17.12,17.18,17.23,17.28,17.34,17.42,17.51,17.62,17.71,17.76,17.80,17.85,17.89,17.97,18.05,18.14,18.22,18.26,18.30,18.33,18.38,18.45,18.53,18.61,18.68,18.71,18.74,18.78,18.83,18.88,18.96,19.03,19.09","1.3350,1.2460,1.2324,0.1869","1.6055,1.4668,0.9282,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","12,4,12,12","30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30"
1010,36.96,31.97,"10.68,12.00,13.18,14.23,15.03,15.69,16.30,16.81,17.20,17.46,17.71,17.95,18.21,18.48,18.77,19.04,19.25,19.42,19.58,19.73,19.89,20.07,20.26,20.46,20.60,20.71,20.83,20.95,21.07,21.21,21.35,21.49,21.60,21.70,21.78,21.88,21.98,22.08,22.20,22.34,22.43,22.51,22.58,22.65,22.73,22.81,22.92,23.05,23.12,23.19,23.26,23.30,23.36,23.45,23.55,23.68,23.73,23.79,23.84,23.90,23.96,24.01,24.12,24.22","0.9073,0.9063,0.8814,0.7517","1.2627,1.2275,0.9814,0.5283,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","15,4,15,15","31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31"
1011,24.79,21.03,"11.14,12.30,13.05,13.60,14.03,14.36,14.61,14.82,15.00,15.16,15.32,15.51,15.68,15.85,15.99,16.13,16.26,16.37,16.48,16.59,16.71,16.82,16.92,17.02,17.13,17.21,17.29,17.38,17.46,17.54,17.62,17.70,17.79,17.86,17.92,17.99,18.06,18.12,18.18,18.26,18.33,18.38,18.44,18.49,18.55,18.60,18.65,18.73,18.77,18.83,18.87,18.91,18.97,19.01,19.05,19.12,19.17,19.21,19.25,19.30,19.33,19.37,19.41,19.47","1.4368,1.3103,1.2529,0.0001","1.7745,1.4219,0.8042,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","12,4,12,12","39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39"
1012,46.18,39.72,"9.29,13.35,15.23,16.78,17.94,18.71,19.31,19.94,20.31,20.67,21.09,21.47,21.82,22.14,22.48,22.65,22.99,23.13,23.31,23.70,24.03,24.25,24.42,24.59,24.76,24.93,25.08,25.24,25.39,25.59,25.77,26.13,26.25,26.40,26.51,26.62,26.78,26.93,27.07,27.12,27.18,27.30,27.40,27.50,27.62,27.69,27.74,27.85,27.94,28.04,28.12,28.20,28.28,28.41,28.51,28.69,28.74,28.83,28.91,28.97,29.06,29.15,29.18,29.21","0.6890,0.6880,0.6866,0.6348","1.0781,1.0361,0.9707,0.9155,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","11,0,0,0","38,32,38,32,38,32,38,32,32,32,32,38,38,32,32,38,32,38,32,32,32,38,38,32,32,32,38,38,38,32,32,32,32,32,38,38,32,32,32,38,38,32,38,38,32,38,38,32,32,32,38,38,32,32,32,32,38,32,38,38,32,32,38,32"
1013,41.85,36.38,"9.55,14.03,15.68,16.62,17.49,18.18,18.86,19.37,19.83,20.17,20.51,20.86,21.17,21.45,21.72,21.96,22.21,22.41,22.61,22.83,23.03,23.21,23.37,23.53,23.71,23.85,24.00,24.16,24.30,24.43,24.56,24.69,24.82,24.93,25.04,25.15,25.26,25.35,25.46,25.56,25.66,25.75,25.85,25.94,26.02,26.09,26.18,26.27,26.35,26.42,26.50,26.58,26.64,26.70,26.78,26.85,26.92,26.98,27.05,27.10,27.15,27.21,27.28,27.34","0.8286,0.8286,0.7877,0.7477","1.1475,1.1074,1.0156,0.7290,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","15,1,15,1","38,0,38,38,0,38,0,0,0,0,38,38,38,0,0,0,0,0,38,38,38,0,0,0,0,0,38,38,38,38,0,0,0,0,38,38,38,0,0,0,0,0,38,38,38,0,0,0,0,0,38,38,38,0,0,0,0,38,38,38,0,0,0,0"
1014,29.05,29.52,"10.34,12.21,13.88,15.13,16.09,16.82,17.40,17.82,18.19,18.45,18.65,18.82,19.03,19.26,19.49,19.72,19.92,20.07,20.19,20.30,20.41,20.55,20.70,20.86,21.01,21.11,21.19,21.27,21.36,21.45,21.56,21.69,21.91,21.96,22.03,22.09,22.16,22.20,22.30,22.41,22.50,22.57,22.62,22.68,22.73,22.80,22.88,22.98,23.05,23.10,23.15,23.20,23.25,23.31,23.37,23.46,23.52,23.57,23.61,23.65,23.70,23.74,23.80,23.88","1.6161,1.6105,0.7739,0.0001","1.7129,1.6455,0.6416,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1,1,1,1","41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,9,41,41,41,24,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41"
1015,30.44,29.84,"11.47,13.71,15.45,16.71,17.64,18.35,18.88,19.48,19.90,20.15,20.35,20.54,20.74,20.96,21.21,21.49,21.71,21.86,21.98,22.09,22.21,22.34,22.50,22.69,22.84,22.95,23.03,23.11,23.19,23.29,23.40,23.55,23.67,23.75,23.81,23.87,23.94,24.01,24.11,24.24,24.32,24.39,24.44,24.50,24.55,24.61,24.69,24.81,24.88,24.93,24.97,25.02,25.06,25.12,25.19,25.29,25.35,25.39,25.43,25.46,25.51,25.56,25.62,25.71","1.1542,1.1486,1.0107,0.4781","1.6924,1.5283,0.7798,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","4,4,4,4","32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32"
1016,39.82,37.53,"11.22,13.37,15.10,16.36,17.31,18.06,18.80,19.48,19.90,20.16,20.35,20.55,20.74,20.95,21.20,21.50,21.74,21.89,22.01,22.12,22.23,22.36,22.50,22.69,22.85,22.96,23.04,23.12,23.20,23.29,23.39,23.52,23.65,23.74,23.79,23.85,23.92,23.98,24.06,24.15,24.26,24.33,24.39,24.43,24.48,24.53,24.59,24.67,24.76,24.83,24.88,24.91,24.95,25.00,25.05,25.11,25.21,25.28,25.32,25.36,25.39,25.43,25.48,25.55","0.6791,0.6758,0.6670,0.5908","1.0811,1.0576,0.9839,0.8774,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","4,4,4,4","17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17"
1017,55.13,48.79,"11.52,18.06,22.04,23.63,24.52,25.40,26.22,26.99,27.67,28.17,28.59,28.90,29.18,29.49,29.85,30.28,30.66,30.90,31.12,31.33,31.51,31.67,31.88,32.17,32.42,32.60,32.76,32.91,33.04,33.15,33.29,33.52,33.71,33.84,33.98,34.10,34.20,34.28,34.40,34.60,34.74,34.86,34.97,35.06,35.15,35.23,35.33,35.50,35.61,35.71,35.80,35.89,35.96,36.03,36.13,36.29,36.38,36.46,36.54,36.62,36.69,36.75,36.84,36.98","0.7048,0.7045,0.7037,0.6987","1.0528,1.0146,0.9854,0.9473,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","9,9,9,9","50,24,50,50,50,50,24,50,50,24,24,50,24,50,50,50,50,24,24,50,50,50,50,50,50,24,24,50,50,50,50,50,50,24,24,50,24,50,50,50,50,50,24,50,24,50,50,50,50,50,50,24,24,24,50,50,50,50,50,24,24,50,50,50"
1018,51.70,45.41,"10.98,17.32,19.79,20.65,21.90,22.67,23.31,23.68,24.15,24.74,24.99,25.29,25.65,25.87,26.16,26.39,26.50,27.46,27.78,28.07,28.26,28.41,28.54,28.71,28.93,29.21,29.45,29.66,29.80,29.86,29.87,29.85,30.09,30.32,30.50,30.65,30.77,30.85,30.95,31.06,31.26,31.44,31.60,31.73,31.81,31.88,31.94,32.03,32.18,32.32,32.45,32.54,32.61,32.66,32.74,32.82,33.01,33.10,33.13,33.13,33.20,33.20,33.21,33.21","0.7350,0.7349,0.7319,0.7293","1.0224,1.0137,0.9868,0.9765,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","5,5,5,13","25,58,25,58,25,25,58,25,25,58,58,58,25,25,25,25,58,58,58,58,25,25,25,25,58,58,58,58,25,25,10,10,25,25,25,25,25,25,25,25,58,58,25,58,25,25,25,25,58,58,25,25,25,25,25,25,58,25,25,10,25,10,10,25"
