ue,C_AE,C_UE,C_BS_hist,lambda_UE,lambda_BS,ue_beams,bs_beams
12,26.91,23.60,"11.15,12.29,12.96,13.42,13.73,13.94,14.08,14.17,14.34,14.53,14.71,14.88,15.01,15.12,15.20,15.25,15.33,15.44,15.55,15.66,15.76,15.85,15.94,16.02,16.09,16.16,16.25,16.34,16.43,16.52,16.60,16.66,16.71,16.77,16.84,16.92,17.00,17.07,17.13,17.19,17.22,17.27,17.32,17.39,17.45,17.51,17.56,17.61,17.64,17.68,17.72,17.77,17.83,17.87,17.92,17.95,17.98,18.02,18.06,18.10,18.14,18.18,18.22,18.25","1.5225,1.5123,0.8047,0.1604","1.8056,1.6162,0.5781,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","3,8,1,3","63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,57,57,57,63,63,63,57,57,57,57,57,63,63,63,63,63,57,57,57,57,63,63,63,63,63,57,57,57,57,57,63,63,63,63,57,57,57,57,57,63,63,57,63"
13,27.75,23.87,"10.50,12.33,13.36,14.13,14.71,15.11,15.41,15.61,15.85,16.13,16.43,16.72,16.98,17.20,17.36,17.50,17.63,17.79,17.96,18.14,18.31,18.45,18.56,18.65,18.75,18.85,18.97,19.10,19.22,19.33,19.40,19.47,19.53,19.62,19.70,19.79,19.88,19.97,20.03,20.09,20.13,20.19,20.26,20.33,20.40,20.47,20.52,20.56,20.60,20.64,20.70,20.75,20.81,20.86,20.90,20.93,20.96,21.00,21.04,21.09,21.14,21.18,21.22,21.24","1.4746,1.4681,1.0577,0.0001","1.9805,1.4980,0.5220,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","3,8,1,3","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,28.65,24.93,"10.26,12.08,13.27,14.06,14.71,15.14,15.48,15.71,15.90,16.14,16.45,16.74,17.01,17.23,17.39,17.51,17.63,17.78,17.96,18.12,18.27,18.41,18.52,18.64,18.72,18.82,18.94,19.06,19.13,19.28,19.37,19.44,19.51,19.57,19.65,19.74,19.83,19.91,19.97,20.03,20.07,20.13,20.19,20.24,20.33,20.35,20.38,20.38,20.41,20.45,20.56,20.50,20.55,20.56,20.57,20.65,20.67,20.70,20.73,20.76,20.78,20.80,20.87,20.87","1.1933,1.1866,0.8629,0.7574","1.3291,1.1436,0.7988,0.7285,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","15,4,15,15","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,62"
15,22.71,19.40,"11.26,12.49,13.22,13.69,13.98,14.14,14.22,14.30,14.54,14.80,15.05,15.27,15.45,15.60,15.71,15.80,15.94,16.09,16.24,16.39,16.52,16.63,16.71,16.78,16.86,16.95,17.06,17.16,17.26,17.35,17.42,17.47,17.52,17.58,17.65,17.73,17.81,17.87,17.93,17.98,18.01,18.05,18.09,18.15,18.21,18.27,18.31,18.36,18.38,18.41,18.45,18.48,18.52,18.56,18.60,18.64,18.67,18.69,18.72,18.75,18.78,18.80,18.84,18.87","1.6687,1.5420,0.7891,0.0001","2.2461,1.7549,0.0002,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","3,8,3,8","56,56,56,56,56,56,56,56,63,63,63,63,63,63,63,63,56,63,63,63,63,56,63,63,63,63,63,63,56,56,63,63,63,63,63,63,63,63,56,63,63,63,63,63,63,63,56,63,63,63,56,63,56,63,63,63,56,56,56,56,56,56,63,63"
16,24.26,21.57,"11.28,12.43,13.08,13.49,13.75,13.92,14.05,14.21,14.51,14.78,15.00,15.19,15.35,15.51,15.66,15.80,16.02,16.21,16.35,16.47,16.58,16.70,16.81,16.92,17.08,17.23,17.35,17.43,17.51,17.60,17.69,17.77,17.89,18.01,18.10,18.18,18.24,18.30,18.37,18.44,18.53,18.62,18.70,18.76,18.81,18.85,18.91,18.97,19.04,19.11,19.17,19.22,19.26,19.29,19.33,19.37,19.44,19.49,19.54,19.57,19.61,19.63,19.66,19.70","2.0154,1.9832,0.0001,0.0001","2.0606,1.9385,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","15,7,15,15","48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48"
17,38.88,35.73,"10.72,17.05,18.38,19.37,20.21,20.81,21.29,21.65,21.98,22.34,22.69,23.00,23.31,23.58,23.82,24.02,24.22,24.42,24.62,24.82,25.00,25.17,25.33,25.48,25.62,25.76,25.90,26.05,26.18,26.30,26.42,26.53,26.64,26.75,26.87,26.97,27.07,27.17,27.26,27.35,27.44,27.53,27.63,27.71,27.79,27.87,27.94,28.01,28.07,28.15,28.23,28.29,28.36,28.42,28.47,28.53,28.60,28.67,28.74,28.80,28.85,28.92,28.97,29.02","0.9287,0.9282,0.8834,0.7775","1.1777,1.1260,0.8745,0.8218,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","12,5,12,5","56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56"
18,50.02,42.59,"9.73,17.51,20.54,22.33,23.72,24.56,25.20,25.78,26.14,26.61,27.08,27.53,28.03,28.37,28.71,28.99,29.18,29.45,29.72,29.99,30.32,30.54,30.77,30.95,31.10,31.28,31.44,31.64,31.87,32.04,32.21,32.35,32.44,32.58,32.72,32.87,33.04,33.16,33.30,33.40,33.48,33.57,33.66,33.79,33.91,34.02,34.12,34.24,34.25,34.32,34.38,34.42,34.50,34.57,34.68,34.72,34.77,34.83,34.87,34.92,35.00,35.07,35.15,35.18","0.7583,0.7578,0.7576,0.6411","1.0811,1.0078,0.9712,0.9394,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","3,8,1,1","48,48,48,48,48,48,16,16,48,48,48,48,48,48,16,16,48,48,48,48,48,48,48,16,48,48,48,48,48,48,48,16,48,48,48,48,48,48,48,16,48,48,48,48,48,48,48,16,48,48,16,24,48,16,16,16,48,48,16,48,16,48,16,16"
26,66.85,48.67,"10.18,15.56,18.84,20.96,22.44,23.48,23.95,24.21,24.94,25.36,25.89,26.34,26.68,26.99,27.34,27.54,27.92,28.14,28.44,28.70,28.90,29.07,29.30,29.42,29.66,29.82,30.02,30.19,30.34,30.46,30.62,30.70,30.86,30.98,31.13,31.26,31.37,31.47,31.59,31.65,31.77,31.87,31.99,32.08,32.18,32.27,32.36,32.41,32.51,32.59,32.69,32.78,32.86,32.94,33.02,33.07,33.16,33.23,33.31,33.39,33.47,33.55,33.62,33.68","0.5142,0.5137,0.5137,0.5136","1.0098,1.0098,0.9936,0.9863,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","5,5,5,13","24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24"
27,74.72,50.22,"10.68,16.92,21.13,23.70,24.58,25.21,25.69,26.01,26.71,27.26,27.73,28.14,28.47,28.72,29.03,29.25,29.65,29.91,30.22,30.50,30.72,30.88,31.10,31.25,31.49,31.68,31.91,32.09,32.25,32.36,32.51,32.64,32.82,32.96,33.14,33.27,33.39,33.48,33.60,33.69,33.83,33.95,34.09,34.20,34.29,34.37,34.47,34.56,34.68,34.78,34.90,34.99,35.07,35.14,35.23,35.31,35.42,35.50,35.60,35.68,35.75,35.82,35.90,35.99","0.4643,0.4642,0.4639,0.4638","1.0058,1.0010,0.9974,0.9961,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","5,5,13,5","31,31,32,31,31,31,31,31,32,32,32,32,32,32,32,31,31,32,32,32,31,31,31,31,32,32,32,32,32,32,31,31,32,32,32,32,31,31,31,31,32,32,32,32,32,31,31,31,32,32,32,32,31,31,31,31,32,32,32,32,31,31,31,31"
28,74.62,48.98,"10.43,16.37,20.34,22.73,23.83,24.36,24.81,25.20,25.92,26.53,26.87,27.28,27.64,27.88,28.31,28.58,28.97,29.32,29.54,29.78,30.04,30.20,30.46,30.65,30.92,31.15,31.32,31.49,31.67,31.80,31.98,32.13,32.33,32.50,32.64,32.79,32.92,33.03,33.16,33.29,33.45,33.59,33.71,33.84,33.93,34.03,34.13,34.24,34.38,34.50,34.60,34.72,34.79,34.88,34.96,35.07,35.19,35.29,35.38,35.48,35.55,35.62,35.69,35.80","0.4495,0.4492,0.4490,0.4487","1.0108,1.0049,0.9981,0.9868,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","5,5,14,5","31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31"
