ue,C_AE,C_UE,C_BS_hist,lambda_UE,lambda_BS,ue_beams,bs_beams
492,23.81,20.59,"10.24,11.62,12.54,13.24,13.77,14.15,14.41,14.58,14.66,14.79,14.96,15.15,15.34,15.49,15.62,15.70,15.77,15.85,15.96,16.08,16.21,16.32,16.42,16.48,16.53,16.59,16.67,16.77,16.88,16.98,17.05,17.10,17.13,17.18,17.25,17.34,17.44,17.52,17.59,17.63,17.66,17.70,17.78,17.86,17.95,18.03,18.08,18.12,18.15,18.20,18.26,18.35,18.43,18.51,18.56,18.60,18.63,18.67,18.74,18.82,18.90,18.98,19.03,19.07","1.4601,1.3112,1.2284,0.0001","2.1387,1.8604,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","8,8,8,8","14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14"
493,23.70,20.20,"11.05,12.27,13.01,13.52,13.89,14.14,14.32,14.43,14.57,14.73,14.91,15.08,15.22,15.34,15.43,15.50,15.58,15.67,15.78,15.89,15.99,16.06,16.13,16.21,16.27,16.34,16.42,16.51,16.59,16.65,16.70,16.76,16.82,16.88,16.95,17.03,17.10,17.16,17.20,17.24,17.31,17.37,17.43,17.49,17.57,17.62,17.67,17.70,17.78,17.83,17.89,17.96,18.02,18.07,18.12,18.15,18.22,18.27,18.32,18.39,18.46,18.51,18.56,18.59","1.3478,1.2383,0.8613,0.4036","1.8799,1.0782,0.5869,0.4548,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","8,0,8,0","15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15"
494,22.43,19.32,"10.30,11.55,12.33,12.88,13.28,13.55,13.74,13.85,13.98,14.13,14.31,14.48,14.63,14.76,14.85,14.91,14.97,15.06,15.16,15.27,15.38,15.46,15.52,15.57,15.63,15.69,15.77,15.86,15.94,16.00,16.05,16.09,16.15,16.20,16.26,16.35,16.41,16.46,16.50,16.54,16.59,16.63,16.69,16.76,16.81,16.85,16.89,16.93,16.98,17.03,17.08,17.14,17.18,17.22,17.25,17.30,17.34,17.39,17.44,17.49,17.53,17.57,17.60,17.66","1.7950,1.6572,0.5474,0.0001","2.2559,1.7197,0.0240,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","12,4,12,4","15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15"
495,21.29,20.11,"12.53,13.65,14.32,14.80,15.14,15.40,15.58,15.71,15.88,16.05,16.22,16.38,16.52,16.64,16.73,16.81,16.89,16.99,17.09,17.20,17.29,17.37,17.45,17.51,17.59,17.67,17.76,17.83,17.90,17.96,18.02,18.08,18.16,18.22,18.30,18.35,18.41,18.46,18.52,18.56,18.64,18.68,18.73,18.79,18.85,18.88,18.93,18.95,19.03,19.06,19.11,19.16,19.19,19.23,19.27,19.28,19.36,19.39,19.46,19.48,19.50,19.53,19.57,19.61","1.8211,1.4439,0.7340,0.0001","2.3731,1.6270,0.0002,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","11,11,11,11","7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7"
496,22.06,19.93,"12.44,13.55,14.21,14.66,14.98,15.20,15.35,15.45,15.63,15.82,16.00,16.17,16.31,16.42,16.50,16.57,16.65,16.76,16.86,16.96,17.05,17.13,17.19,17.24,17.30,17.37,17.44,17.52,17.58,17.64,17.70,17.76,17.82,17.86,17.93,17.99,18.04,18.10,18.14,18.20,18.24,18.28,18.32,18.35,18.41,18.44,18.50,18.53,18.58,18.61,18.64,18.69,18.71,18.74,18.81,18.85,18.88,18.90,18.94,18.96,19.00,19.01,19.05,19.09","1.6904,1.4298,0.8801,0.0001","2.4921,1.5088,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","11,11,11,11","62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62"
497,25.16,20.93,"10.98,12.21,12.95,13.44,13.77,13.99,14.14,14.38,14.57,14.79,15.01,15.21,15.38,15.54,15.71,15.91,16.01,16.13,16.26,16.39,16.52,16.63,16.75,16.89,16.95,17.03,17.12,17.22,17.32,17.42,17.51,17.61,17.66,17.71,17.76,17.84,17.93,18.03,18.11,18.19,18.24,18.27,18.31,18.37,18.45,18.53,18.61,18.68,18.73,18.76,18.79,18.84,18.91,18.99,19.07,19.14,19.20,19.22,19.25,19.29,19.36,19.43,19.52,19.60","1.4315,1.3633,1.2051,0.0001","1.7725,1.5205,0.7070,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","12,4,10,12","62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62"
498,29.06,24.16,"10.49,11.67,12.38,12.86,13.19,13.42,13.57,13.66,13.84,14.06,14.28,14.48,14.67,14.82,14.93,15.00,15.09,15.23,15.38,15.52,15.65,15.75,15.84,15.90,15.98,16.09,16.21,16.32,16.41,16.49,16.56,16.61,16.69,16.78,16.87,16.96,17.04,17.11,17.16,17.20,17.27,17.36,17.44,17.51,17.58,17.63,17.67,17.70,17.78,17.85,17.93,17.99,18.05,18.10,18.13,18.16,18.22,18.30,18.37,18.43,18.48,18.51,18.55,18.57","1.0859,1.0518,0.9940,0.8687","1.4463,1.0566,0.9795,0.5176,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","12,4,12,4","55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55"
506,71.96,48.85,"10.02,15.36,18.71,20.81,22.50,23.42,24.61,25.45,26.03,26.32,26.67,27.00,27.26,27.61,27.94,28.37,28.70,28.88,29.07,29.30,29.46,29.70,29.90,30.19,30.44,30.57,30.71,30.89,31.02,31.21,31.35,31.56,31.75,31.85,31.95,32.08,32.18,32.32,32.41,32.57,32.73,32.82,32.89,32.99,33.07,33.19,33.27,33.39,33.54,33.63,33.68,33.76,33.84,33.95,34.02,34.12,34.25,34.34,34.38,34.44,34.51,34.60,34.68,34.77","0.4363,0.4363,0.4355,0.4345","1.0264,1.0137,0.9854,0.9741,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","9,0,9,0","24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24"
507,39.38,34.15,"10.50,14.22,16.06,17.07,17.89,18.55,19.03,19.45,19.90,20.25,20.58,20.91,21.26,21.57,21.84,22.08,22.28,22.47,22.69,22.91,23.15,23.36,23.54,23.69,23.81,23.95,24.11,24.28,24.45,24.62,24.75,24.86,24.95,25.06,25.18,25.30,25.43,25.57,25.68,25.78,25.86,25.96,26.05,26.15,26.25,26.36,26.47,26.57,26.64,26.71,26.80,26.88,26.97,27.06,27.16,27.25,27.31,27.37,27.44,27.52,27.60,27.68,27.77,27.84","0.8583,0.8565,0.8223,0.8067","1.1894,1.0566,0.9350,0.8194,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","15,4,15,4","32,46,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32"
508,29.13,26.09,"11.36,12.64,13.42,13.93,14.31,14.71,15.03,15.29,15.46,15.69,15.91,16.16,16.41,16.61,16.78,16.97,17.05,17.17,17.32,17.52,17.70,17.85,17.96,18.06,18.13,18.21,18.31,18.44,18.58,18.71,18.81,18.90,18.96,19.03,19.09,19.19,19.32,19.42,19.52,19.60,19.66,19.71,19.77,19.85,19.95,20.05,20.12,20.19,20.26,20.31,20.36,20.43,20.51,20.59,20.67,20.72,20.81,20.86,20.91,20.97,21.02,21.10,21.17,21.23","1.3213,1.3134,1.2050,0.1603","1.3818,1.1914,0.9512,0.4751,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","15,13,15,15","38,38,38,38,32,32,32,32,38,38,38,32,32,32,32,32,38,38,32,32,32,32,32,38,38,38,32,32,32,32,32,38,38,38,38,32,32,32,32,32,32,32,32,32,32,32,38,32,38,32,32,32,32,32,32,32,38,38,32,32,32,32,32,32"
