ue,C_AE,C_UE,C_BS_hist,lambda_UE,lambda_BS,ue_beams,bs_beams
18,50.01,42.59,"9.73,17.51,20.54,22.33,23.72,24.56,25.20,25.78,26.14,26.61,27.08,27.53,28.03,28.37,28.71,28.99,29.18,29.45,29.72,29.99,30.32,30.54,30.77,30.95,31.10,31.28,31.44,31.64,31.87,32.04,32.21,32.35,32.44,32.58,32.72,32.87,33.04,33.16,33.30,33.40,33.48,33.57,33.66,33.79,33.91,34.02,34.12,34.24,34.25,34.32,34.38,34.42,34.50,34.57,34.68,34.72,34.77,34.83,34.87,34.92,35.00,35.07,35.15,35.18","0.7583,0.7578,0.7576,0.6411","1.0811,1.0078,0.9712,0.9394,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","3,8,1,1","48,48,48,48,48,48,16,16,48,48,48,48,48,48,16,16,48,48,48,48,48,48,48,16,48,48,48,48,48,48,48,16,48,48,48,48,48,48,48,16,48,48,48,48,48,48,48,16,48,48,16,24,48,16,16,16,48,48,16,48,16,48,16,16"
57,31.91,28.48,"8.13,11.42,12.86,13.96,14.78,15.38,15.86,16.22,16.44,16.74,17.03,17.36,17.68,17.98,18.23,18.43,18.57,18.74,18.91,19.12,19.31,19.50,19.66,19.81,19.90,20.03,20.16,20.31,20.45,20.58,20.70,20.81,20.92,21.05,21.16,21.28,21.37,21.46,21.55,21.64,21.76,21.85,21.94,22.03,22.10,22.17,22.23,22.29,22.39,22.47,22.54,22.61,22.67,22.72,22.76,22.80,22.87,22.93,23.01,23.07,23.12,23.16,23.20,23.22","1.2461,1.2403,1.2138,0.2998","1.1875,1.0840,0.9790,0.7495,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","12,4,4,4","48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48"
68,68.98,50.35,"10.67,15.92,19.03,20.72,22.21,23.03,23.67,24.15,24.77,25.20,25.66,26.06,26.43,26.75,27.13,27.40,27.76,28.01,28.27,28.50,28.74,28.93,29.17,29.35,29.60,29.78,29.96,30.12,30.29,30.42,30.58,30.73,30.91,31.05,31.18,31.32,31.44,31.54,31.66,31.78,31.92,32.04,32.15,32.27,32.36,32.44,32.54,32.64,32.76,32.86,32.96,33.06,33.14,33.21,33.29,33.39,33.48,33.58,33.66,33.76,33.82,33.88,33.96,34.04","0.4995,0.4993,0.4990,0.4983","1.0185,1.0019,0.9922,0.9868,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","9,9,9,9","24,30,30,24,30,30,24,24,24,30,30,30,30,30,24,24,24,30,30,30,30,30,24,24,24,30,30,30,30,24,24,24,24,30,30,30,30,24,24,24,24,30,30,30,30,24,24,24,24,30,30,30,24,24,24,24,24,30,30,24,24,24,24,24"
112,34.71,30.57,"9.58,10.50,11.58,12.40,13.08,13.63,14.11,14.53,14.89,15.14,15.32,15.48,15.65,15.85,16.07,16.32,16.54,16.70,16.81,16.91,17.02,17.14,17.27,17.45,17.60,17.72,17.82,17.89,17.97,18.05,18.14,18.28,18.41,18.51,18.57,18.63,18.70,18.76,18.83,18.93,19.05,19.13,19.17,19.24,19.29,19.34,19.39,19.48,19.59,19.66,19.71,19.76,19.80,19.84,19.90,19.96,20.07,20.11,20.15,20.22,20.23,20.27,20.32,20.37","0.8554,0.8448,0.7993,0.7833","1.2871,1.1230,0.9605,0.6299,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","5,5,5,12","32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,16,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,16,16,32,16,32,16,32,16,32,16,32,32,32,32,16,32,16,32,32,16,16,32,32,16,16,32,32,32"
678,56.66,49.51,"10.01,16.69,20.87,22.65,24.12,25.15,25.90,26.46,27.14,27.67,28.15,28.59,29.07,29.42,29.72,30.01,30.38,30.70,30.97,31.24,31.48,31.71,31.93,32.13,32.38,32.59,32.77,32.95,33.12,33.29,33.46,33.61,33.79,33.95,34.08,34.22,34.35,34.49,34.63,34.75,34.90,35.02,35.12,35.23,35.33,35.45,35.57,35.67,35.78,35.89,35.97,36.06,36.14,36.25,36.35,36.43,36.53,36.61,36.68,36.75,36.83,36.92,37.01,37.08","0.8043,0.8041,0.8039,0.8032","1.0127,1.0058,0.9946,0.9863,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","13,5,13,5","38,24,38,38,38,24,24,24,38,38,38,24,38,24,24,24,38,38,38,38,38,24,24,24,38,38,38,38,24,24,24,24,38,38,38,38,24,24,24,24,38,38,38,38,24,24,24,24,38,38,38,24,24,24,24,24,38,38,24,38,24,24,24,24"
