ue,C_AE,C_UE,C_BS_hist,lambda_UE,lambda_BS,ue_beams,bs_beams
651,28.53,24.81,"10.52,11.88,12.77,13.67,14.60,15.38,16.01,16.55,16.89,17.14,17.34,17.55,17.81,18.11,18.43,18.74,18.92,19.06,19.18,19.31,19.48,19.68,19.90,20.12,20.24,20.33,20.41,20.50,20.63,20.79,20.95,21.13,21.20,21.26,21.32,21.40,21.50,21.62,21.76,21.89,21.95,21.99,22.03,22.09,22.17,22.27,22.38,22.48,22.53,22.55,22.59,22.64,22.71,22.79,22.88,22.96,22.98,23.00,23.03,23.08,23.14,23.20,23.27,23.33","1.1739,1.1658,0.9606,0.6162","1.9815,1.9668,0.0513,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","8,8,8,8","30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30"
652,25.00,21.10,"11.18,12.40,13.22,13.84,14.47,15.03,15.41,15.61,15.92,16.13,16.29,16.50,16.76,17.00,17.15,17.23,17.41,17.52,17.62,17.76,17.93,18.06,18.14,18.20,18.31,18.37,18.45,18.56,18.68,18.76,18.81,18.89,18.94,18.99,19.06,19.15,19.23,19.28,19.34,19.43,19.46,19.51,19.57,19.64,19.68,19.73,19.78,19.91,19.93,19.97,20.03,20.08,20.11,20.15,20.24,20.36,20.38,20.42,20.47,20.49,20.53,20.59,20.68,20.78","1.3038,1.2177,1.1276,0.3504","2.0898,1.9112,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","8,8,8,8","22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22"
653,23.63,23.33,"10.37,11.78,12.72,13.42,13.96,14.36,14.65,14.85,14.96,15.10,15.28,15.49,15.71,15.91,16.11,16.31,16.39,16.50,16.65,16.82,17.00,17.18,17.34,17.51,17.59,17.70,17.84,17.99,18.13,18.27,18.41,18.53,18.61,18.72,18.83,18.96,19.08,19.19,19.29,19.39,19.47,19.55,19.66,19.76,19.86,19.96,20.05,20.12,20.18,20.26,20.36,20.45,20.53,20.62,20.70,20.76,20.81,20.89,20.97,21.05,21.13,21.20,21.27,21.33","1.6210,1.5596,0.4744,0.3457","2.0313,1.9678,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","11,11,11,11","23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23"
654,20.98,18.70,"9.91,11.04,11.75,12.28,12.70,13.04,13.31,13.53,13.68,13.83,13.98,14.14,14.28,14.42,14.54,14.65,14.73,14.82,14.91,15.01,15.10,15.18,15.26,15.33,15.38,15.45,15.51,15.58,15.64,15.70,15.76,15.80,15.85,15.90,15.95,16.00,16.05,16.09,16.13,16.16,16.20,16.24,16.27,16.32,16.35,16.38,16.42,16.44,16.47,16.50,16.53,16.56,16.58,16.60,16.63,16.65,16.69,16.73,16.76,16.79,16.81,16.84,16.86,16.89","1.8066,1.3544,0.5161,0.3225","2.4844,1.5156,0.0002,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","6,6,8,8","13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13"
655,21.23,20.34,"12.02,13.18,13.90,14.41,14.79,15.07,15.27,15.41,15.55,15.71,15.88,16.04,16.19,16.31,16.42,16.50,16.61,16.71,16.81,16.92,17.01,17.10,17.18,17.27,17.36,17.44,17.52,17.59,17.66,17.73,17.79,17.87,17.97,18.03,18.10,18.15,18.21,18.25,18.31,18.37,18.44,18.50,18.56,18.61,18.65,18.69,18.73,18.77,18.86,18.91,18.95,18.99,19.03,19.06,19.10,19.14,19.21,19.26,19.29,19.32,19.34,19.37,19.40,19.43","1.6798,1.2608,0.6676,0.3916","2.2812,1.7187,0.0002,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","7,7,7,7","13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,13,13,13"
656,21.69,19.94,"11.42,12.55,13.24,13.73,14.10,14.40,14.63,14.81,14.96,15.12,15.28,15.43,15.57,15.69,15.80,15.89,15.97,16.06,16.15,16.24,16.33,16.41,16.48,16.54,16.60,16.66,16.72,16.79,16.85,16.91,16.96,17.00,17.04,17.09,17.14,17.19,17.23,17.28,17.33,17.38,17.41,17.45,17.49,17.54,17.59,17.64,17.70,17.77,17.78,17.82,17.86,17.90,17.96,18.02,18.08,18.14,18.15,18.19,18.23,18.29,18.32,18.40,18.45,18.50","1.6640,1.2546,1.0810,0.0001","2.3301,1.6709,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","6,6,6,6","14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14"
657,23.89,21.04,"11.67,12.83,13.53,13.99,14.32,14.53,14.68,14.76,14.92,15.11,15.29,15.46,15.60,15.71,15.78,15.83,15.91,16.01,16.11,16.22,16.31,16.38,16.44,16.48,16.53,16.60,16.67,16.74,16.81,16.89,16.95,17.00,17.03,17.09,17.15,17.20,17.26,17.32,17.40,17.44,17.47,17.51,17.55,17.59,17.63,17.70,17.76,17.81,17.84,17.86,17.90,17.93,17.97,18.02,18.08,18.13,18.14,18.17,18.19,18.22,18.27,18.30,18.35,18.41","1.4882,1.3594,1.1535,0.0001","1.8428,1.0967,1.0605,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","7,5,7,7","6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6"
658,28.21,24.30,"11.33,12.38,13.00,13.43,13.74,13.98,14.17,14.30,14.49,14.66,14.82,14.97,15.10,15.21,15.30,15.37,15.46,15.56,15.65,15.74,15.82,15.90,15.96,16.01,16.07,16.13,16.19,16.26,16.32,16.37,16.42,16.47,16.51,16.55,16.60,16.64,16.69,16.73,16.77,16.81,16.84,16.88,16.91,16.95,16.98,17.02,17.05,17.08,17.10,17.13,17.16,17.18,17.22,17.26,17.30,17.33,17.36,17.38,17.40,17.44,17.48,17.52,17.57,17.62","1.1358,1.1104,1.0091,0.7447","1.6396,1.1250,0.8130,0.4219,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","7,5,7,5","62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62"
659,43.95,35.21,"10.37,11.35,11.89,12.24,12.48,12.68,13.06,13.37,13.67,13.92,14.14,14.33,14.56,14.78,14.96,15.10,15.26,15.42,15.57,15.70,15.84,15.98,16.10,16.20,16.29,16.39,16.50,16.60,16.70,16.80,16.89,16.96,17.02,17.09,17.16,17.24,17.32,17.40,17.47,17.54,17.59,17.67,17.76,17.83,17.90,17.97,18.04,18.10,18.20,18.28,18.36,18.42,18.47,18.53,18.59,18.64,18.73,18.80,18.87,18.92,18.96,19.00,19.05,19.10","0.8560,0.8554,0.8487,0.8423","1.1377,1.0244,0.9360,0.9018,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","10,8,0,0","54,54,54,54,54,48,48,48,54,54,54,48,48,48,48,48,54,54,54,54,48,48,48,48,54,54,54,54,48,48,48,48,54,54,54,54,48,48,48,48,48,48,48,48,54,54,54,48,48,48,48,48,54,54,54,48,48,48,48,48,54,54,54,54"
660,38.44,32.18,"11.47,12.49,13.07,13.46,13.73,13.91,14.04,14.18,14.41,14.63,14.82,14.98,15.10,15.21,15.32,15.48,15.60,15.73,15.86,15.98,16.08,16.15,16.21,16.31,16.40,16.49,16.59,16.68,16.77,16.83,16.88,16.94,17.02,17.10,17.17,17.26,17.33,17.41,17.45,17.50,17.59,17.66,17.72,17.80,17.87,17.94,17.99,18.03,18.15,18.22,18.28,18.34,18.40,18.46,18.52,18.57,18.70,18.77,18.82,18.87,18.93,18.99,19.04,19.09","0.8985,0.8978,0.8768,0.7623","1.1602,1.0830,0.8799,0.8770,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","6,8,0,6","54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54"
