ue,stage,C_TRX_UE,C_TRX_BS,C_TRX,C_Layer_no_power,C_Layer,C_ABM_hist,lambda_bs_beam,lambda_ue_beam,ue_beams,bs_pattern,bs_layer_pattern,bs_beams_abm
1360,Stage1,39.24,,,,,,,,4,,,
1360,Stage2,39.24,16.00,,,,,,,4,0,,
1360,PowerOpt,39.24,16.00,16.00,,,,"225.73,27.65,1.33,0.36,0.35,0.20,0.10,0.07,0.04,0.03,0.02,0.01,0.01",1.00,4,0,,
1360,Stage3,39.24,16.00,16.00,15.99,,,,,4,0,32,
1360,Stage3_PowerOpt,39.24,16.00,16.00,,15.99,,"56.51,6.92,0.33,0.09,0.05,0.03,0.02,0.01",1.00,4,0,32,
1360,Stage4,39.24,16.00,16.00,,15.99,8.13;10.47;11.17;11.68;12.09;12.44;12.73;12.99;13.18;13.32;13.44;13.54;13.65;13.76;13.87;13.99;14.09;14.17;14.24;14.30;14.36;14.43;14.50;14.58;14.64;14.70;14.75;14.79;14.83;14.88;14.93;14.99;15.04;15.08;15.12;15.16;15.19;15.23,,,4,0,32,"32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32"
1367,Stage1,40.46,,,,,,,,"4,0,9",,,
1367,Stage2,40.46,31.92,,,,,,,"4,0,9",0,,
1367,PowerOpt,40.46,31.92,31.92,,,,"181.60,30.77,8.15,6.17,4.05,3.79,2.78,1.81,1.53,1.46,1.36,1.18,1.12,1.04,1.00,0.96,0.94,0.86,0.74,0.60,0.41,0.36,0.35,0.33,0.28,0.27,0.24,0.19,0.17,0.14,0.13,0.12,0.12,0.10,0.09,0.09,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01","2.95,0.04,0.01","4,0,9",0,,
1367,Stage3,40.46,31.92,31.92,28.00,,,,,"4,0,9",0,"16,41,16,16,41",
1367,Stage3_PowerOpt,40.46,31.92,31.92,,28.00,,"48.68,7.58,2.04,1.45,0.97,0.69,0.43,0.39,0.36,0.30,0.24,0.22,0.16,0.09,0.07,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01","2.97,0.03,0.01","4,0,9",0,"16,41,16,16,41",
1367,Stage4,40.46,31.92,31.92,,28.00,7.18;12.57;14.06;15.39;16.42;17.35;18.18;18.90;19.48;20.01;20.39;20.76;21.07;21.39;21.70;22.02;22.32;22.56;22.77;22.97;23.16;23.36;23.58;23.81;24.01;24.17;24.31;24.44;24.58;24.70;24.85;25.01;25.16;25.29;25.41;25.52;25.62;25.74;25.85;25.98;26.11;26.22;26.31;26.40;26.49;26.58;26.68,,,"4,0,9",0,"16,41,16,16,41","16,41,16,41,16,41,16,41,41,16,16,16,16,16,41,16,41,16,16,16,41,16,16,41,16,41,16,16,41,41,16,41,41,16,16,16,16,16,16,41,41,16,16,41,16,16,41"
1368,Stage1,37.66,,,,,,,,"4,9,0",,,
1368,Stage2,37.66,30.65,,,,,,,"4,9,0",0,,
