ue,stage,C_TRX_UE,C_TRX_BS,C_TRX,C_Layer_no_power,C_Layer,C_ABM_hist,lambda_bs_beam,lambda_ue_beam,ue_beams,bs_pattern,bs_layer_pattern,bs_beams_abm
814,Stage1,42.80,,,,,,,,"9,0",,,
814,Stage2,42.80,26.36,,,,,,,"9,0","1,13",,
814,PowerOpt,42.80,26.36,26.36,,,,"121.87,81.53,25.48,21.32,3.09,1.58,0.33,0.25,0.20,0.12,0.05,0.05,0.04,0.02,0.01,0.01","1.25,0.75","9,0","1,13",,
814,Stage3,42.80,26.36,26.36,26.26,,,,,"9,0","1,13","42,32,43,32",
814,Stage3_PowerOpt,42.80,26.36,26.36,,26.26,,"34.98,16.42,7.12,4.27,0.61,0.41,0.09,0.04,0.03,0.01","1.37,0.63","9,0","1,13","42,32,43,32",
814,Stage4,42.80,26.36,26.36,,26.26,8.16;14.68;16.35;17.56;18.38;19.12;19.68;20.20;20.55;20.84;21.07;21.30;21.51;21.74;21.96;22.21;22.40;22.55;22.68;22.81;22.95;23.08;23.23;23.39;23.52;23.62;23.71;23.80;23.89;23.99;24.11;24.22;24.32;24.41;24.48;24.56;24.63;24.72;24.81;24.90;24.98,,,"9,0","1,13","42,32,43,32","32,43,32,43,32,43,32,43,43,32,43,32,43,32,32,43,32,43,43,32,43,32,43,32,32,43,43,43,43,32,43,32,32,32,32,43,43,43,43,43,32"
815,Stage1,44.99,,,,,,,,1,,,
815,Stage2,44.99,15.77,,,,,,,1,0,,
815,PowerOpt,44.99,15.77,15.77,,,,"167.86,46.49,18.72,11.56,4.90,1.91,1.13,0.92,0.82,0.61,0.53,0.14,0.12,0.07,0.06,0.04,0.03,0.02,0.01,0.01,0.01",1.00,1,0,,
815,Stage3,44.99,15.77,15.77,15.41,,,,,1,0,33,
815,Stage3_PowerOpt,44.99,15.77,15.77,,15.41,,"46.37,13.54,2.89,0.52,0.25,0.18,0.08,0.04,0.04,0.03",1.00,1,0,33,
815,Stage4,44.99,15.77,15.77,,15.41,8.11;9.81;10.57;11.10;11.51;11.85;12.14;12.39;12.57;12.71;12.83;12.94;13.05;13.16;13.27;13.39;13.48;13.56;13.63;13.70;13.76;13.83;13.90;13.98;14.04;14.10;14.14;14.19;14.24;14.29;14.34;14.40;14.44;14.49;14.52;14.56;14.60;14.63;14.68,,,1,0,33,"33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33"
816,Stage1,47.31,,,,,,,,"1,4",,,
816,Stage2,47.31,26.79,,,,,,,"1,4",1,,
816,PowerOpt,47.31,26.79,26.79,,,,"160.69,47.75,31.91,5.61,3.66,2.07,1.80,0.80,0.55,0.35,0.24,0.16,0.09,0.08,0.07,0.05,0.02,0.02","1.79,0.21","1,4",1,,
816,Stage3,47.31,26.79,26.79,25.62,,,,,"1,4",1,"32,59,33,59,33",
816,Stage3_PowerOpt,47.31,26.79,26.79,,25.62,,"40.83,12.56,8.05,1.49,0.48,0.16,0.11,0.08,0.05,0.04,0.04,0.03,0.02,0.02","1.81,0.19","1,4",1,"32,59,33,59,33",
816,Stage4,47.31,26.79,26.79,,25.62,8.98;14.37;15.98;17.00;17.88;18.50;19.12;19.58;19.93;20.22;20.45;20.67;20.90;21.12;21.35;21.58;21.77;21.93;22.07;22.20;22.33;22.46;22.60;22.76;22.89;22.99;23.09;23.18;23.27;23.37;23.48;23.60;23.70;23.78;23.85;23.92;23.99;24.08;24.16;24.26;24.34;24.40,,,"1,4",1,"32,59,33,59,33","33,59,33,59,33,59,33,59,33,59,33,59,33,33,33,59,33,59,59,59,33,33,33,59,33,59,59,59,59,33,33,59,33,33,59,59,33,59,33,33,33,33"
817,Stage1,41.40,,,,,,,,"0,1",,,
817,Stage2,41.40,25.19,,,,,,,"0,1",0,,
817,PowerOpt,41.40,25.19,25.19,,,,"180.31,50.34,12.86,5.92,3.54,1.01,0.58,0.52,0.49,0.13,0.10,0.04,0.03,0.02,0.02,0.01","1.99,0.01","0,1",0,,
