ue,stage,C_TRX_UE,C_TRX_BS,C_TRX,C_Layer_no_power,C_Layer,C_ABM_hist,lambda_bs_beam,lambda_ue_beam,ue_beams,bs_pattern,bs_layer_pattern,bs_beams_abm
1088,Stage2,22.12,19.60,,,,,,,"8,0,4",15,,
1088,PowerOpt,22.12,19.60,19.60,,,,"121.29,51.38,32.93,18.54,13.00,6.09,3.62,2.40,2.11,1.00,0.75,0.55,0.46,0.45,0.29,0.20,0.18,0.17,0.13,0.10,0.08,0.05,0.05,0.04,0.03,0.02,0.02,0.01,0.01","1.94,1.00,0.06","8,0,4",15,,
1088,Stage3,22.12,19.60,19.60,19.72,,,,,"8,0,4",15,39,
1088,Stage3_PowerOpt,22.12,19.60,19.60,,19.72,,"17.68,15.66,10.13,6.04,4.41,2.98,1.86,1.43,1.26,0.64,0.32,0.25,0.20,0.17,0.15,0.12,0.11,0.10,0.09,0.08,0.06,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.01","2.21,0.73,0.05","8,0,4",15,39,
1088,Stage4,22.12,19.60,19.60,,19.72,9.48;10.92;11.86;12.55;13.07;13.51;13.94;14.32;14.58;14.78;14.96;15.13;15.31;15.52;15.75;15.97;16.14;16.27;16.38;16.48;16.59;16.72;16.87;17.03;17.16;17.25;17.32;17.39;17.48;17.58;17.69;17.81;17.91;17.98;18.04;18.09;18.16;18.24;18.33;18.43;18.50;18.56;18.61;18.65;18.71;18.78,,,"8,0,4",15,39,"39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39"
1089,Stage1,24.15,,,,,,,,15,,,
1089,Stage2,24.15,16.95,,,,,,,15,15,,
1089,PowerOpt,24.15,16.95,16.95,,,,"73.73,33.67,30.95,19.42,17.21,16.14,15.28,9.14,7.57,5.96,4.70,4.28,3.27,2.44,2.04,1.82,1.68,1.56,1.11,0.85,0.75,0.46,0.42,0.38,0.31,0.15,0.14,0.12,0.10,0.05,0.04,0.04,0.03,0.03,0.02,0.01,0.01",1.00,15,15,,
1089,Stage3,24.15,16.95,16.95,16.97,,,,,15,15,39,
1089,Stage3_PowerOpt,24.15,16.95,16.95,,16.97,,"16.42,13.93,8.46,7.06,4.72,3.15,2.48,2.01,1.72,0.96,0.67,0.60,0.41,0.32,0.27,0.20,0.17,0.14,0.07,0.06,0.05,0.03,0.02,0.02,0.01,0.01",1.00,15,15,39,
1089,Stage4,24.15,16.95,16.95,,16.97,9.98;11.24;12.05;12.64;13.09;13.44;13.70;13.90;14.00;14.13;14.28;14.44;14.59;14.72;14.83;14.92;14.98;15.05;15.14;15.23;15.32;15.40;15.47;15.52;15.57;15.62;15.68;15.74;15.81;15.87;15.91;15.95;15.99;16.03;16.08;16.13,,,15,15,39,"39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39"
1090,Stage1,23.25,,,,,,,,8,,,
1090,Stage2,23.25,16.16,,,,,,,8,15,,
1090,PowerOpt,23.25,16.16,16.16,,,,"76.85,61.03,44.72,29.04,24.43,7.86,5.76,2.19,1.50,0.86,0.45,0.34,0.24,0.15,0.14,0.10,0.09,0.06,0.04,0.04,0.02,0.02",1.00,8,15,,
1090,Stage3,23.25,16.16,16.16,16.06,,,,,8,15,39,
1090,Stage3_PowerOpt,23.25,16.16,16.16,,16.06,,"20.73,17.58,9.65,8.58,2.79,2.42,0.87,0.68,0.17,0.12,0.10,0.08,0.07,0.04,0.03,0.03,0.02,0.01",1.00,8,15,39,
1090,Stage4,23.25,16.16,16.16,,16.06,8.75;10.08;10.96;11.62;12.12;12.50;12.78;12.99;13.08;13.20;13.35;13.51;13.67;13.81;13.93;14.02;14.07;14.14;14.23;14.32;14.42;14.50;14.57;14.63;14.67;14.72;14.78;14.85;14.91;14.97;15.02;15.06;15.09;15.13;15.18;15.23;15.29,,,8,15,39,"39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39"
1091,Stage1,35.93,,,,,,,,"0,15",,,
1091,Stage2,35.93,26.42,,,,,,,"0,15",12,,
1091,PowerOpt,35.93,26.42,26.42,,,,"175.09,48.42,15.69,8.63,6.40,1.12,0.31,0.17,0.09,0.02,0.02","2.00,0.00","0,15",12,,
1091,Stage3,35.93,26.42,26.42,25.78,,,,,"0,15",12,"39,56,31,56",
1091,Stage3_PowerOpt,35.93,26.42,26.42,,25.78,,"43.81,11.93,4.11,2.26,1.49,0.28,0.08,0.03,0.02","2.00,0.00","0,15",12,"39,56,31,56",
1091,Stage4,35.93,26.42,26.42,,25.78,9.74;13.84;15.43;16.76;17.73;18.52;19.08;19.61;19.98;20.23;20.51;20.80;21.06;21.31;21.52;21.72;21.92;22.07;22.25;22.44;22.62;22.77;22.90;23.03;23.16;23.26;23.39;23.51;23.63;23.74;23.84;23.93;24.03;24.11;24.20;24.30;24.39;24.47;24.54,,,"0,15",12,"39,56,31,56","31,56,31,56,31,56,31,56,56,31,31,31,31,56,56,56,56,56,31,31,31,31,56,56,56,56,31,31,31,31,56,56,56,56,31,31,31,56,56"
1092,Stage1,23.15,,,,,,,,8,,,
1092,Stage2,23.15,16.26,,,,,,,8,15,,
1092,PowerOpt,23.15,16.26,16.26,,,,"223.25,29.02,1.77,0.78,0.38,0.24,0.13,0.10,0.07,0.06,0.05,0.03,0.02,0.02",1.00,8,15,,
1092,Stage3,23.15,16.26,16.26,16.19,,,,,8,15,31,
1092,Stage3_PowerOpt,23.15,16.26,16.26,,16.19,,"56.17,7.12,0.43,0.12,0.05,0.04,0.02,0.01,0.01",1.00,8,15,31,
1092,Stage4,23.15,16.26,16.26,,16.19,8.90;10.28;11.18;11.84;12.33;12.69;12.95;13.13;13.21;13.34;13.49;13.66;13.82;13.96;14.07;14.15;14.20;14.27;14.36;14.45;14.55;14.64;14.70;14.75;14.79;14.84;14.90;14.97;15.04;15.10;15.15;15.18;15.21;15.25;15.30;15.36;15.41,,,8,15,31,"31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31"
1093,Stage1,39.16,,,,,,,,4,,,
1093,Stage2,39.16,16.48,,,,,,,4,4,,
1093,PowerOpt,39.16,16.48,16.48,,,,"181.61,52.42,7.31,6.41,5.68,1.05,1.00,0.23,0.11,0.06,0.04,0.01",1.00,4,4,,
1093,Stage3,39.16,16.48,16.48,16.56,,,,,4,4,33,
1093,Stage3_PowerOpt,39.16,16.48,16.48,,16.56,,"45.93,13.35,1.82,1.40,0.99,0.24,0.17,0.06,0.02,0.01",1.00,4,4,33,
1093,Stage4,39.16,16.48,16.48,,16.56,7.84;11.12;11.83;12.34;12.73;13.05;13.32;13.56;13.74;13.89;14.01;14.12;14.23;14.34;14.45;14.56;14.65;14.73;14.80;14.87;14.93;15.00;15.07;15.14;15.21;15.26;15.31;15.36;15.40;15.45;15.50;15.56;15.60;15.65;15.68;15.72;15.76,,,4,4,33,"33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33"
1094,Stage1,34.11,,,,,,,,"4,0,9",,,
1094,Stage2,34.11,28.95,,,,,,,"4,0,9",4,,
1094,PowerOpt,34.11,28.95,28.95,,,,"178.86,56.95,13.20,4.24,1.56,0.74,0.34,0.04,0.01","2.98,0.02,0.00","4,0,9",4,,
1094,Stage3,34.11,28.95,28.95,29.08,,,,,"4,0,9",4,33,
1094,Stage3_PowerOpt,34.11,28.95,28.95,,29.08,,"44.59,14.45,3.37,0.97,0.35,0.18,0.08","2.98,0.02,0.00","4,0,9",4,33,
1094,Stage4,34.11,28.95,28.95,,29.08,9.95;13.63;15.55;16.88;18.03;19.07;19.83;20.53;21.00;21.33;21.69;22.00;22.29;22.62;22.89;23.22;23.48;23.67;23.89;24.07;24.26;24.45;24.63;24.85;25.04;25.17;25.33;25.46;25.59;25.73;25.87;26.04;26.18;26.29;26.41;26.52;26.62;26.73;26.84;26.99;27.10;27.19;27.29;27.38;27.46;27.56;27.65,,,"4,0,9",4,33,"33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33"
1095,Stage1,26.71,,,,,,,,4,,,
1095,Stage2,26.71,16.22,,,,,,,4,4,,
1095,PowerOpt,26.71,16.22,16.22,,,,"228.44,24.18,1.67,1.49,0.13,0.02",1.00,4,4,,
1095,Stage3,26.71,16.22,16.22,16.16,,,,,4,4,25,
1095,Stage3_PowerOpt,26.71,16.22,16.22,,16.16,,"57.03,6.14,0.42,0.37,0.03",1.00,4,4,25,
1095,Stage4,26.71,16.22,16.22,,16.16,8.07;10.60;11.31;11.83;12.25;12.59;12.88;13.13;13.32;13.47;13.58;13.69;13.80;13.91;14.02;14.14;14.24;14.32;14.39;14.45;14.51;14.58;14.65;14.72;14.79;14.85;14.90;14.94;14.99;15.04;15.09;15.14;15.19;15.24;15.28;15.31;15.35;15.38,,,4,4,25,"25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25"
1096,Stage1,35.67,,,,,,,,4,,,
1096,Stage2,35.67,16.41,,,,,,,4,4,,
1096,PowerOpt,35.67,16.41,16.41,,,,"172.45,71.97,10.18,1.03,0.13,0.06,0.04,0.03,0.03,0.02",1.00,4,4,,
1096,Stage3,35.67,16.41,16.41,16.44,,,,,4,4,33,
1096,Stage3_PowerOpt,35.67,16.41,16.41,,16.44,,"43.46,17.72,2.52,0.26,0.02",1.00,4,4,33,
1096,Stage4,35.67,16.41,16.41,,16.44,7.89;10.94;11.67;12.19;12.59;12.92;13.20;13.44;13.64;13.78;13.90;14.01;14.11;14.22;14.33;14.44;14.54;14.62;14.69;14.76;14.82;14.88;14.95;15.03;15.09;15.15;15.20;15.24;15.29;15.33;15.39;15.44;15.49;15.53;15.57;15.61;15.64,,,4,4,33,"33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33"
1097,Stage1,46.74,,,,,,,,4,,,
1097,Stage2,46.74,16.57,,,,,,,4,4,,
1097,PowerOpt,46.74,16.57,16.57,,,,"156.14,53.60,26.91,11.23,5.44,1.70,0.51,0.21,0.10,0.06,0.03",1.00,4,4,,
1097,Stage3,46.74,16.57,16.57,16.20,,,,,4,4,33,
1097,Stage3_PowerOpt,46.74,16.57,16.57,,16.20,,"46.62,15.60,1.59,0.08,0.06,0.03",1.00,4,4,33,
1097,Stage4,46.74,16.57,16.57,,16.20,8.08;10.67;11.40;11.93;12.35;12.69;12.97;13.20;13.40;13.54;13.66;13.76;13.87;13.98;14.09;14.20;14.30;14.38;14.45;14.51;14.58;14.64;14.71;14.79;14.85;14.91;14.95;15.00;15.05;15.09;15.15;15.20;15.25;15.29;15.33;15.36;15.40,,,4,4,33,"33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33"
1098,Stage1,35.16,,,,,,,,5,,,
1098,Stage2,35.16,16.53,,,,,,,5,9,,
1098,PowerOpt,35.16,16.53,16.53,,,,"156.02,47.36,28.31,6.68,5.90,4.46,2.43,1.98,1.54,0.48,0.23,0.17,0.15,0.05,0.04,0.03,0.02,0.02,0.02,0.01",1.00,5,9,,
1098,Stage3,35.16,16.53,16.53,16.27,,,,,5,9,50,
1098,Stage3_PowerOpt,35.16,16.53,16.53,,16.27,,"37.71,11.61,8.27,1.78,1.69,1.09,0.60,0.52,0.42,0.12,0.07,0.04,0.04,0.01",1.00,5,9,50,
1098,Stage4,35.16,16.53,16.53,,16.27,8.18;10.54;11.30;11.83;12.23;12.57;12.87;13.12;13.36;13.53;13.68;13.80;13.92;14.03;14.15;14.26;14.34;14.42;14.49;14.56;14.62;14.69;14.76;14.83;14.90;14.96;15.01;15.06;15.11;15.15;15.20;15.26;15.30;15.34;15.38;15.42;15.45,,,5,9,50,"50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50"
1099,Stage1,47.32,,,,,,,,"4,9,0",,,
1099,Stage2,47.32,37.06,,,,,,,"4,9,0",5,,
1099,PowerOpt,47.32,37.06,37.06,,,,"159.20,53.92,11.35,10.27,4.80,4.73,4.02,1.50,1.31,1.03,0.94,0.63,0.38,0.37,0.34,0.31,0.15,0.13,0.13,0.11,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01","2.73,0.24,0.03","4,9,0",5,,
1099,Stage3,47.32,37.06,37.06,35.31,,,,,"4,9,0",5,17,
1099,Stage3_PowerOpt,47.32,37.06,37.06,,35.31,,"42.81,14.19,3.01,1.62,1.07,0.50,0.30,0.16,0.11,0.08,0.04,0.03,0.02,0.02,0.01,0.01","2.86,0.12,0.02","4,9,0",5,17,
